id,place_name,latitude,longitude,country,population
1,Paris,48.8566,2.3522,France,2148000
2,Paris,33.6609,-95.5555,United States,24839
3,London,51.5074,-0.1278,United Kingdom,8982000
4,London,42.9849,-81.2453,Canada,383822
5,New York,40.7128,-74.0060,United States,8398000
6,Los Angeles,34.0522,-118.2437,United States,3990000
7,Chicago,41.8781,-87.6298,United States,2706000
8,San Jose,37.3382,-121.8863,United States,1030000
9,San José,9.9281,-84.0907,Costa Rica,342188
10,Toronto,43.6532,-79.3832,Canada,2731571
11,Vancouver,49.2827,-123.1207,Canada,631486
12,Montreal,45.5017,-73.5673,Canada,1704694
13,Mexico City,19.4326,-99.1332,Mexico,8918653
14,Bogotá,4.7110,-74.0721,Colombia,7412566
15,Lima,-12.0464,-77.0428,Peru,8852000
16,Santiago,-33.4489,-70.6693,Chile,5614000
17,Buenos Aires,-34.6037,-58.3816,Argentina,2890151
18,Rio de Janeiro,-22.9068,-43.1729,Brazil,6748000
19,São Paulo,-23.5505,-46.6333,Brazil,12325232
20,Berlin,52.5200,13.4050,Germany,3644826
21,Munich,48.1351,11.5820,Germany,1471508
22,Hamburg,53.5511,9.9937,Germany,1841179
23,Madrid,40.4168,-3.7038,Spain,3223334
24,Barcelona,41.3851,2.1734,Spain,1620343
25,Málaga,36.7213,-4.4214,Spain,574654
26,Rome,41.9028,12.4964,Italy,2872800
27,Milan,45.4642,9.1900,Italy,1396059
28,Amsterdam,52.3676,4.9041,Netherlands,872680
29,Brussels,50.8503,4.3517,Belgium,1218255
30,Vienna,48.2082,16.3738,Austria,1897491
31,Prague,50.0755,14.4378,Czechia,1309000
32,Warsaw,52.2297,21.0122,Poland,1790658
33,Kraków,50.0647,19.9450,Poland,779115
34,Łódź,51.7592,19.4560,Poland,679941
35,Lisbon,38.7223,-9.1393,Portugal,504718
36,Dublin,53.3498,-6.2603,Ireland,554554
37,Edinburgh,55.9533,-3.1883,United Kingdom,488050
38,Stockholm,59.3293,18.0686,Sweden,975551
39,Oslo,59.9139,10.7522,Norway,693494
40,Copenhagen,55.6761,12.5683,Denmark,626508
41,Helsinki,60.1699,24.9384,Finland,655281
42,Reykjavík,64.1466,-21.9426,Iceland,131136
43,Longyearbyen,78.2232,15.6267,Norway,2417
44,Zürich,47.3769,8.5417,Switzerland,415367
45,Athens,37.9838,23.7275,Greece,664046
46,Istanbul,41.0082,28.9784,Turkey,15462452
47,Moscow,55.7558,37.6173,Russia,12506468
48,Cairo,30.0444,31.2357,Egypt,9539000
49,Lagos,6.5244,3.3792,Nigeria,14862000
50,Nairobi,-1.2921,36.8219,Kenya,4397073
51,Cape Town,-33.9249,18.4241,South Africa,433688
52,Johannesburg,-26.2041,28.0473,South Africa,957441
53,Dubai,25.2048,55.2708,United Arab Emirates,3331420
54,Delhi,28.7041,77.1025,India,16787941
55,Mumbai,19.0760,72.8777,India,12442373
56,Singapore,1.3521,103.8198,Singapore,5685807
57,Bangkok,13.7563,100.5018,Thailand,8281000
58,Jakarta,-6.2088,106.8456,Indonesia,10562088
59,Manila,14.5995,120.9842,Philippines,1780148
60,Hong Kong,22.3193,114.1694,China,7482500
61,Shanghai,31.2304,121.4737,China,24870895
62,Beijing,39.9042,116.4074,China,21540000
63,Seoul,37.5665,126.9780,South Korea,9776000
64,Tokyo,35.6762,139.6503,Japan,13929286
65,Osaka,34.6937,135.5023,Japan,2691185
66,Kyoto,35.0116,135.7681,Japan,1475183
67,Sydney,-33.8688,151.2093,Australia,5312163
68,Melbourne,-37.8136,144.9631,Australia,5078193
69,Perth,-31.9505,115.8605,Australia,2059484
70,Auckland,-36.8485,174.7633,New Zealand,1657000
71,Wellington,-41.2866,174.7756,New Zealand,212700
72,Suva,-18.1416,178.4419,Fiji,93970
73,Apia,-13.8506,-171.7513,Samoa,37391
74,Nukuʻalofa,-21.1394,-175.2049,Tonga,23221
75,Ushuaia,-54.8019,-68.3030,Argentina,56956
